,fighter_name,Height,Weight,Reach,Stance,DOB
32,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
33,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
34,Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982"
35,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
36,Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
37,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
38,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
39,Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
40,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
41,Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
42,Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
43,Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
44,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
45,Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990"
46,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
47,Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992"
48,Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986"
49,Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
50,Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984"
51,Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988"
52,Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
53,Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
54,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
55,Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
56,Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
57,Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
58,Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
59,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
60,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
61,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
62,Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
63,Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
64,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
65,Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
66,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
67,Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
68,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989"
69,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987"
70,Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986"
71,Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993"
72,Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994"
73,Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982"
74,Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991"
75,Amanda Lemos,"5' 4""",135 lbs.,"65""",Southpaw,"May 22, 1987"
76,Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988"
77,Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
78,Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
79,Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
80,Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988"
81,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990"
82,Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988"
83,Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981"
84,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989"
85,Andreas Stahl,"5' 11""",170 lbs.,"73""",Orthodox,"May 20, 1988"
86,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
87,Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986"
88,Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986"
89,Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988"
90,Andrew Todhunter,"6' 0""",185 lbs.,"72""",Switch,"Nov 30, 1987"
91,Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991"
92,Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
93,Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985"
94,Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984"
95,Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988"
96,Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986"
97,Anthony Christodoulou,"5' 9""",155 lbs.,"72""",Orthodox,"Jul 30, 1987"
98,Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
99,Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
100,Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984"
101,Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980"
102,Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980"
103,Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972"
104,Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987"
105,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989"
106,Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
107,Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984"
108,Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987"
109,Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,"Feb 05, 1976"
110,Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984"
111,Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
112,Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987"
113,Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990"
114,Antonio Carvalho,"5' 9""",145 lbs.,"68""",Orthodox,"May 30, 1979"
115,Antonio Dos Santos,"5' 10""",185 lbs.,"72""",Orthodox,"Jul 21, 1988"
116,Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981"
117,Antonio Silva,"6' 4""",264 lbs.,"80""",Orthodox,"Sep 14, 1979"
118,Ariane Lipski,"5' 3""",125 lbs.,"67""",Orthodox,"Jan 26, 1994"
119,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986"
120,Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996"
121,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994"
122,Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986"
123,Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985"
124,Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987"
125,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987"
126,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
127,Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983"
128,Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984"
129,Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991"
130,Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
131,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991"
132,Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991"
133,Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987"
134,Austin Tweedy,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 25, 1990"
135,Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990"
136,Azamat Gashimov,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 07, 1990"
137,BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978"
138,Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983"
139,Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
140,Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991"
141,Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989"
142,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988"
143,Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984"
144,Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988"
145,Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981"
146,Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983"
147,Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989"
148,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
149,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994"
150,Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981"
151,Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983"
152,Bentley Syler,"5' 4""",125 lbs.,"68""",Orthodox,"Dec 22, 1982"
153,Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981"
154,Besam Yousef,"5' 11""",170 lbs.,"71""",Orthodox,"Mar 25, 1985"
155,Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983"
156,Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991"
157,Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
158,Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
159,Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980"
160,Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986"
161,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983"
162,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
163,Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976"
164,Bobby Moffett,"5' 10""",145 lbs.,"74""",Orthodox,"Jun 01, 1990"
165,Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990"
166,Bobby Voelker,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1979"
167,Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980"
168,Bojan Velickovic,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988"
169,Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,"Nov 20, 1990"
170,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977"
171,Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991"
172,Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978"
173,Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987"
174,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990"
175,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993"
176,Brandon Thatch,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985"
177,Brandon Vera,"6' 3""",230 lbs.,"76""",Orthodox,"Oct 10, 1977"
178,Brandon Visher,"5' 6""",135 lbs.,"68""",Orthodox,"May 06, 1984"
179,Brendan Loughnane,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989"
180,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987"
181,Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983"
182,Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992"
183,Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,"Feb 17, 1981"
184,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980"
185,Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991"
186,Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
187,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984"
188,Brian Houston,"6' 2""",185 lbs.,"78""",Orthodox,"Apr 26, 1981"
189,Brian Kelleher,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986"
190,Brian Melancon,"5' 8""",170 lbs.,"72""",Orthodox,"May 28, 1982"
191,Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991"
192,Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980"
193,Bristol Marunde,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 20, 1982"
194,Brock Jardine,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 10, 1985"
195,Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977"
196,Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
197,Brok Weaver,"6' 0""",170 lbs.,"73""",Southpaw,"Dec 05, 1991"
198,Bruno Santos,"5' 9""",185 lbs.,"69""",Orthodox,"Jul 17, 1987"
199,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989"
200,Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984"
201,Bubba Bush,"6' 0""",185 lbs.,"73""",Orthodox,"Jul 24, 1985"
202,Bubba McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983"
203,Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983"
204,CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983"
205,CJ Hamilton,"5' 7""",125 lbs.,"68""",Switch,"Oct 07, 1986"
206,CM Punk,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 26, 1978"
207,Cain Carrizosa,"5' 8""",155 lbs.,"74""",Orthodox,"Jul 22, 1986"
208,Cain Velasquez,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982"
209,Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
210,Callan Potter,"6' 0""",155 lbs.,"72""",Orthodox,"Jun 09, 1984"
211,Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988"
212,Cameron Olson,"6' 1""",205 lbs.,"75""",Orthodox,"Nov 22, 1989"
213,Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975"
214,Carlo Pedersoli,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993"
215,Carlo Prater,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981"
216,Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991"
217,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984"
218,Carlos Eduardo Rocha,"5' 10""",170 lbs.,"70""",Orthodox,"Jul 12, 1981"
219,Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996"
220,Carls John De Tomas,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996"
221,Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981"
222,Caros Fodor,"5' 9""",155 lbs.,"76""",Orthodox,"Jan 07, 1984"
223,Casey Kenney,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991"
224,Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982"
225,Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987"
226,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985"
227,Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982"
228,Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978"
229,Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
230,Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985"
231,Chael Sonnen,"6' 1""",205 lbs.,"74""",Southpaw,"Apr 03, 1977"
232,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987"
233,Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986"
234,Chanmi Jeon,"5' 5""",115 lbs.,"67""",Orthodox,"Aug 28, 1997"
235,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983"
236,Charles Jourdain,"5' 9""",155 lbs.,"69""",Switch,"Nov 27, 1995"
237,Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980"
238,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989"
239,Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986"
240,Charlie Brenneman,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 09, 1981"
241,Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974"
242,Charlie Ward,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 17, 1980"
243,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985"
244,Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985"
245,Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989"
246,Chase Waldon,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986"
247,Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982"
248,Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975"
249,Cheyden Leialoha,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994"
250,Chibwikem Onyenegecha-Palmer,"6' 3""",185 lbs.,"76""",Orthodox,"Apr 18, 1994"
251,Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985"
252,Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,"Jan 16, 1993"
253,Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985"
254,Chris Birchler,"6' 3""",205 lbs.,"79""",Switch,"Jun 05, 1987"
255,Chris Camozzi,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986"
256,Chris Cariaso,"5' 3""",125 lbs.,"63""",Southpaw,"May 27, 1981"
257,Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976"
258,Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983"
259,Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987"
260,Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992"
261,Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986"
262,Chris Gutierrez,"5' 9""",135 lbs.,"69""",Orthodox,"Apr 22, 1991"
263,Chris Heatherly,"5' 9""",155 lbs.,"68""",Orthodox,"Nov 24, 1987"
264,Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987"
265,Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981"
266,Chris Leben,"5' 11""",185 lbs.,"74""",Southpaw,"Jul 21, 1980"
267,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974"
268,Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975"
269,Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987"
270,Chris Weidman,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984"
271,Chris Wilson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977"
272,Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979"
273,Christian Colombo,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 01, 1980"
274,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986"
275,Christian Ocon,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996"
276,Christian Wellisch,"6' 2""",234 lbs.,"77""",Orthodox,"Sep 13, 1975"
277,Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985"
278,Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990"
279,Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969"
280,Cindy Dandois,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984"
281,Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980"
282,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988"
283,Claudio Puelles,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996"
284,Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982"
285,Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993"
286,Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981"
287,Clifford Starks,"6' 0""",185 lbs.,"77""",Orthodox,"Apr 25, 1981"
288,Clint Hester,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986"
289,Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981"
290,Cody East,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988"
291,Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991"
292,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987"
293,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987"
294,Cody Pfister,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990"
295,Cody Stamann,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989"
296,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988"
297,Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981"
298,Cole Miller,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984"
299,Cole Province,"5' 9""",145 lbs.,"68""",Orthodox,"Jan 17, 1981"
