,fighter_name,Height,Weight,Reach,Stance,DOB
59,Alan Belcher,"6' 2""",185 lbs.,"73""",Orthodox,"Apr 24, 1984"
62,Alan Jouban,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 25, 1981"
63,Alan Omer,"5' 10""",145 lbs.,"71""",Orthodox,"Sep 14, 1988"
64,Alan Patrick,"5' 11""",155 lbs.,"74""",Southpaw,"Jul 19, 1983"
67,Albert Morales,"5' 9""",135 lbs.,"72""",Orthodox,"May 25, 1991"
69,Albert Tumenov,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 26, 1991"
72,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,"May 02, 1982"
73,Alberto Uda,"6' 3""",185 lbs.,"77""",Orthodox,"Aug 08, 1984"
75,Alejandro Perez,"5' 6""",135 lbs.,"67""",Orthodox,"Sep 02, 1989"
78,Aleksandar Rakic,"6' 4""",205 lbs.,"78""",Orthodox,"Feb 06, 1992"
80,Aleksei Kunchenko,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
81,Aleksei Oleinik,"6' 2""",240 lbs.,"80""",Orthodox,"Jun 20, 1977"
82,Alen Amedovski,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
83,Alessandro Ricci,"5' 11""",155 lbs.,"69""",Orthodox,"Jul 21, 1982"
84,Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,"Dec 12, 1989"
85,Alessio Sakara,"6' 0""",185 lbs.,"72""",Orthodox,"Sep 02, 1981"
87,Alex Caceres,"5' 10""",145 lbs.,"73""",Southpaw,"Jun 20, 1988"
90,Alex Da Silva,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996"
92,Alex Enlund,"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987"
93,Alex Garcia,"5' 9""",170 lbs.,"72""",Orthodox,"Jul 14, 1987"
94,Alex Gilpin,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 26, 1992"
95,Alex Gorgees,"6' 2""",155 lbs.,"74""",Switch,"Aug 11, 1995"
99,Alex Karalexis,"5' 8""",155 lbs.,"66""",Orthodox,"Sep 20, 1977"
100,Alex Morono,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990"
101,Alex Nicholson,"6' 4""",185 lbs.,"81""",Orthodox,"May 02, 1990"
102,Alex Oliveira,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 21, 1988"
103,Alex Perez,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 21, 1992"
104,Alex Reyes,"5' 11""",170 lbs.,"73""",Orthodox,"Oct 02, 1986"
106,Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980"
107,Alex Soto,"5' 8""",135 lbs.,"71""",Southpaw,"Feb 15, 1984"
109,Alex Torres,"5' 10""",145 lbs.,"70""",Orthodox,"May 29, 1988"
110,Alex White,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988"
112,Alexa Grasso,"5' 5""",115 lbs.,"66""",Orthodox,"Aug 09, 1993"
114,Alexander Gustafsson,"6' 5""",205 lbs.,"79""",Orthodox,"Jan 15, 1987"
115,Alexander Hernandez,"5' 9""",155 lbs.,"72""",Orthodox,"Oct 01, 1992"
123,Alexander Volkanovski,"5' 6""",145 lbs.,"71""",Orthodox,"Sep 29, 1988"
124,Alexander Volkov,"6' 7""",250 lbs.,"80""",Orthodox,"Oct 24, 1988"
125,Alexander Yakovlev,"6' 3""",155 lbs.,"74""",Southpaw,"Jul 18, 1984"
126,Alexandra Albu,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
131,Alexandre Pantoja,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 16, 1990"
133,Alexis Davis,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984"
134,Alexis Dufresne,"5' 9""",135 lbs.,"68""",Orthodox,"Aug 31, 1990"
136,Alfred Khashakyan,"5' 8""",135 lbs.,"70""",Orthodox,"Jul 17, 1988"
137,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985"
139,Alistair Overeem,"6' 4""",265 lbs.,"80""",Orthodox,"May 17, 1980"
140,Aljamain Sterling,"5' 7""",135 lbs.,"71""",Orthodox,"Jul 31, 1989"
143,Allan Zuniga,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 04, 1992"
145,Allen Crowder,"6' 3""",245 lbs.,"76""",Orthodox,"Nov 08, 1989"
147,Alonzo Menifield,"6' 0""",205 lbs.,"76""",Orthodox,"Oct 18, 1987"
148,Alptekin Ozkilic,"5' 5""",125 lbs.,"65""",Orthodox,"Mar 27, 1986"
149,Alton Cunningham,"6' 2""",205 lbs.,"77""",Orthodox,"Jun 24, 1993"
150,Alton Meeks,"6' 5""",265 lbs.,"75""",Orthodox,"Apr 05, 1994"
153,Alvin Robinson,"5' 9""",155 lbs.,"68""",Southpaw,"Jul 16, 1982"
155,Amanda Cooper,"5' 3""",115 lbs.,"64""",Switch,"Oct 22, 1991"
156,Amanda Lemos,"5' 4""",135 lbs.,"65""",Southpaw,"May 22, 1987"
157,Amanda Nunes,"5' 8""",145 lbs.,"69""",Orthodox,"May 30, 1988"
165,Amir Sadollah,"5' 10""",170 lbs.,"74""",Orthodox,"Aug 27, 1980"
168,Anderson Dos Santos,"5' 5""",135 lbs.,"70""",Orthodox,"Jul 24, 1985"
169,Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975"
171,Andre Ewell,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988"
172,Andre Fili,"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990"
180,Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988"
182,Andre Winner,"5' 11""",155 lbs.,"73""",Orthodox,"Nov 09, 1981"
183,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989"
185,Andreas Stahl,"5' 11""",170 lbs.,"73""",Orthodox,"May 20, 1988"
186,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979"
189,Andrew Craig,"6' 1""",170 lbs.,"76""",Orthodox,"Jan 15, 1986"
190,Andrew Holbrook,"5' 11""",155 lbs.,"70""",Southpaw,"Feb 06, 1986"
193,Andrew Sanchez,"6' 1""",185 lbs.,"74""",Orthodox,"Apr 08, 1988"
194,Andrew Todhunter,"6' 0""",185 lbs.,"72""",Switch,"Nov 30, 1987"
199,Andy Enz,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991"
201,Andy Ogle,"5' 8""",145 lbs.,"69""",Orthodox,"Feb 16, 1989"
207,Angela Hill,"5' 3""",115 lbs.,"64""",Orthodox,"Jan 12, 1985"
212,Anna Elmose,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984"
214,Anthony Adams,"6' 0""",185 lbs.,"77""",Orthodox,"Jan 13, 1988"
217,Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986"
218,Anthony Christodoulou,"5' 9""",155 lbs.,"72""",Orthodox,"Jul 30, 1987"
221,Anthony Hamilton,"6' 5""",260 lbs.,"76""",Orthodox,"Apr 14, 1980"
222,Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,"Oct 18, 1993"
223,Anthony Johnson,"6' 2""",205 lbs.,"78""",Orthodox,"Mar 06, 1984"
224,Anthony Lapsley,"5' 9""",170 lbs.,"71""",Southpaw,"Feb 13, 1980"
228,Anthony Njokuani,"6' 1""",155 lbs.,"75""",Orthodox,"Mar 01, 1980"
229,Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,"Oct 05, 1972"
230,Anthony Pettis,"5' 10""",170 lbs.,"72""",Orthodox,"Jan 27, 1987"
231,Anthony Rocco Martin,"6' 0""",170 lbs.,"73""",Orthodox,"Dec 11, 1989"
233,Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988"
237,Anton Kuivanen,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984"
238,Anton Zafir,"5' 11""",170 lbs.,"72""",Orthodox,"May 10, 1987"
239,Antoni Hardonk,"6' 4""",245 lbs.,"78""",Orthodox,"Feb 05, 1976"
240,Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984"
242,Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979"
243,Antonio Braga Neto,"6' 3""",185 lbs.,"77""",Orthodox,"Oct 29, 1987"
244,Antonio Carlos Junior,"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990"
245,Antonio Carvalho,"5' 9""",145 lbs.,"68""",Orthodox,"May 30, 1979"
246,Antonio Dos Santos,"5' 10""",185 lbs.,"72""",Orthodox,"Jul 21, 1988"
250,Antonio Mendes,"6' 3""",205 lbs.,"77""",Southpaw,"Apr 19, 1981"
252,Antonio Silva,"6' 4""",264 lbs.,"80""",Orthodox,"Sep 14, 1979"
256,Ariane Lipski,"5' 3""",125 lbs.,"67""",Orthodox,"Jan 26, 1994"
259,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986"
261,Arman Tsarukyan,"5' 7""",155 lbs.,"72""",Orthodox,"Oct 11, 1996"
263,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994"
268,Artem Lobov,"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986"
273,Ashkan Mokhtarian,"5' 6""",125 lbs.,"67""",Southpaw,"Sep 15, 1985"
274,Ashlee Evans-Smith,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987"
275,Ashley Yoder,"5' 7""",115 lbs.,"69""",Southpaw,"Oct 20, 1987"
276,Aspen Ladd,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
279,Augusto Mendes,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 03, 1983"
280,Augusto Montano,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 25, 1984"
281,Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,"May 09, 1991"
283,Austen Lane,"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
284,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991"
285,Austin Hubbard,"5' 10""",155 lbs.,"71""",Orthodox,"Dec 22, 1991"
286,Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987"
287,Austin Tweedy,"5' 9""",155 lbs.,"68""",Orthodox,"Sep 25, 1990"
288,Austin Vanderford,"5' 11""",170 lbs.,"74""",Orthodox,"Mar 21, 1990"
289,Azamat Gashimov,"5' 6""",125 lbs.,"66""",Orthodox,"Apr 07, 1990"
291,BJ Penn,"5' 9""",155 lbs.,"70""",Orthodox,"Dec 13, 1978"
294,Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,"May 30, 1983"
295,Bartosz Fabinski,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1986"
299,Bea Malecki,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991"
300,Bec Rawlings,"5' 6""",125 lbs.,"64""",Orthodox,"Feb 11, 1989"
301,Belal Muhammad,"5' 11""",170 lbs.,"72""",Orthodox,"Jul 09, 1988"
302,Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984"
307,Ben Nguyen,"5' 5""",125 lbs.,"65""",Switch,"Aug 03, 1988"
309,Ben Rothwell,"6' 4""",265 lbs.,"78""",Orthodox,"Oct 17, 1981"
310,Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,"Apr 13, 1983"
311,Ben Wall,"5' 10""",155 lbs.,"73""",Orthodox,"Mar 25, 1989"
313,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989"
314,Benito Lopez,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994"
316,Benny Alloway,"5' 11""",170 lbs.,"75""",Orthodox,"Feb 19, 1981"
317,Benson Henderson,"5' 9""",170 lbs.,"70""",Southpaw,"Nov 16, 1983"
318,Bentley Syler,"5' 4""",125 lbs.,"68""",Orthodox,"Dec 22, 1982"
319,Bernardo Magalhaes,"5' 9""",155 lbs.,"65""",Orthodox,"Apr 08, 1981"
321,Besam Yousef,"5' 11""",170 lbs.,"71""",Orthodox,"Mar 25, 1985"
322,Bethe Correia,"5' 5""",135 lbs.,"64""",Orthodox,"Jun 22, 1983"
323,Bevon Lewis,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991"
324,Bharat Kandare,"5' 7""",135 lbs.,"72""",Orthodox,"Jun 20, 1987"
326,Bill Algeo,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
330,Billy Evangelista,"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980"
335,Blagoy Ivanov,"5' 11""",250 lbs.,"73""",Southpaw,"Oct 09, 1986"
339,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983"
348,Bobby Green,"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986"
350,Bobby Lashley,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976"
352,Bobby Moffett,"5' 10""",145 lbs.,"74""",Orthodox,"Jun 01, 1990"
353,Bobby Nash,"6' 0""",170 lbs.,"74""",Orthodox,"Mar 26, 1990"
357,Bobby Voelker,"6' 0""",170 lbs.,"75""",Orthodox,"Apr 26, 1979"
358,Bojan Mihajlovic,"5' 11""",205 lbs.,"73""",Orthodox,"Mar 30, 1980"
359,Bojan Velickovic,"6' 0""",170 lbs.,"76""",Southpaw,"Dec 18, 1988"
361,Boston Salmon,"5' 9""",135 lbs.,"69""",Southpaw,"Nov 20, 1990"
362,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977"
365,Brad Katona,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 19, 1991"
369,Brad Pickett,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 24, 1978"
371,Brad Tavares,"6' 1""",185 lbs.,"74""",Orthodox,"Dec 21, 1987"
376,Brandon Davis,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990"
386,Brandon Moreno,"5' 7""",125 lbs.,"70""",Orthodox,"Dec 07, 1993"
391,Brandon Thatch,"6' 2""",170 lbs.,"74""",Switch,"Jul 11, 1985"
392,Brandon Vera,"6' 3""",230 lbs.,"76""",Orthodox,"Oct 10, 1977"
393,Brandon Visher,"5' 6""",135 lbs.,"68""",Orthodox,"May 06, 1984"
397,Brendan Loughnane,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989"
398,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,"Jun 24, 1987"
399,Brendan Schaub,"6' 4""",245 lbs.,"78""",Orthodox,"Mar 18, 1983"
406,Brett Johns,"5' 7""",135 lbs.,"71""",Orthodox,"Feb 21, 1992"
407,Brett Rogers,"6' 5""",265 lbs.,"81""",Orthodox,"Feb 17, 1981"
409,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980"
410,Brian Camozzi,"6' 2""",170 lbs.,"78""",Orthodox,"Jun 24, 1991"
413,Brian Ebersole,"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980"
414,Brian Foster,"5' 9""",170 lbs.,"71""",Orthodox,"Apr 03, 1984"
417,Brian Houston,"6' 2""",185 lbs.,"78""",Orthodox,"Apr 26, 1981"
419,Brian Kelleher,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986"
422,Brian Melancon,"5' 8""",170 lbs.,"72""",Orthodox,"May 28, 1982"
423,Brian Ortega,"5' 8""",145 lbs.,"69""",Switch,"Feb 21, 1991"
427,Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980"
430,Bristol Marunde,"6' 1""",170 lbs.,"71""",Orthodox,"Apr 20, 1982"
431,Brock Jardine,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 10, 1985"
432,Brock Larson,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977"
433,Brock Lesnar,"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
435,Brok Weaver,"6' 0""",170 lbs.,"73""",Southpaw,"Dec 05, 1991"
441,Bruno Santos,"5' 9""",185 lbs.,"69""",Orthodox,"Jul 17, 1987"
444,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989"
445,Bryan Caraway,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 04, 1984"
455,Bubba Bush,"6' 0""",185 lbs.,"73""",Orthodox,"Jul 24, 1985"
457,Bubba McDaniel,"6' 3""",185 lbs.,"75""",Southpaw,"May 03, 1983"
461,Byron Bloodworth,"5' 8""",135 lbs.,"69""",Orthodox,"Aug 16, 1983"
462,CB Dollaway,"6' 2""",185 lbs.,"76""",Orthodox,"Aug 10, 1983"
464,CJ Hamilton,"5' 7""",125 lbs.,"68""",Switch,"Oct 07, 1986"
467,CM Punk,"6' 1""",170 lbs.,"73""",Orthodox,"Oct 26, 1978"
468,Cain Carrizosa,"5' 8""",155 lbs.,"74""",Orthodox,"Jul 22, 1986"
469,Cain Velasquez,"6' 1""",240 lbs.,"77""",Orthodox,"Jul 28, 1982"
470,Caio Magalhaes,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
473,Callan Potter,"6' 0""",155 lbs.,"72""",Orthodox,"Jun 09, 1984"
474,Calvin Kattar,"5' 11""",145 lbs.,"72""",Orthodox,"Mar 26, 1988"
476,Cameron Olson,"6' 1""",205 lbs.,"75""",Orthodox,"Nov 22, 1989"
478,Caol Uno,"5' 7""",155 lbs.,"70""",Southpaw,"May 08, 1975"
484,Carlo Pedersoli,"5' 11""",170 lbs.,"75""",Southpaw,"Jun 08, 1993"
485,Carlo Prater,"5' 11""",155 lbs.,"72""",Switch,"Jun 25, 1981"
487,Carlos Candelario,"5' 8""",125 lbs.,"67""",Southpaw,"Jun 04, 1991"
488,Carlos Condit,"6' 2""",170 lbs.,"75""",Orthodox,"Apr 26, 1984"
489,Carlos Eduardo Rocha,"5' 10""",170 lbs.,"70""",Orthodox,"Jul 12, 1981"
491,Carlos Huachin,"5' 4""",135 lbs.,"67""",Southpaw,"Jun 04, 1996"
494,Carls John De Tomas,"5' 5""",125 lbs.,"71""",Southpaw,"Aug 28, 1996"
496,Carmelo Marrero,"6' 0""",205 lbs.,"73""",Orthodox,"Jan 26, 1981"
497,Caros Fodor,"5' 9""",155 lbs.,"76""",Orthodox,"Jan 07, 1984"
500,Casey Kenney,"5' 7""",135 lbs.,"68""",Southpaw,"Mar 20, 1991"
502,Cat Zingano,"5' 6""",145 lbs.,"68""",Southpaw,"Jul 01, 1982"
503,Cathal Pendred,"6' 1""",170 lbs.,"75""",Orthodox,"Sep 02, 1987"
507,Cezar Ferreira,"6' 1""",185 lbs.,"78""",Southpaw,"Feb 15, 1985"
510,Chad George,"5' 6""",135 lbs.,"68""",Southpaw,"Apr 30, 1982"
511,Chad Griggs,"6' 1""",205 lbs.,"73""",Orthodox,"May 15, 1978"
512,Chad Laprise,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
514,Chad Mendes,"5' 6""",145 lbs.,"66""",Orthodox,"May 01, 1985"
520,Chael Sonnen,"6' 1""",205 lbs.,"74""",Southpaw,"Apr 03, 1977"
522,Chan Sung Jung,"5' 7""",145 lbs.,"72""",Orthodox,"Mar 17, 1987"
524,Chance Rencountre,"6' 2""",170 lbs.,"75""",Southpaw,"Dec 31, 1986"
525,Chanmi Jeon,"5' 5""",115 lbs.,"67""",Orthodox,"Aug 28, 1997"
528,Charles Byrd,"5' 10""",185 lbs.,"73""",Orthodox,"Oct 11, 1983"
529,Charles Jourdain,"5' 9""",155 lbs.,"69""",Switch,"Nov 27, 1995"
530,Charles McCarthy,"5' 10""",185 lbs.,"71""",Orthodox,"Aug 06, 1980"
532,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,"Oct 17, 1989"
533,Charles Rosa,"5' 9""",145 lbs.,"69""",Switch,"Aug 24, 1986"
534,Charlie Brenneman,"5' 10""",155 lbs.,"72""",Orthodox,"Feb 09, 1981"
537,Charlie Valencia,"5' 3""",135 lbs.,"64""",Orthodox,"Oct 31, 1974"
538,Charlie Ward,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 17, 1980"
540,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985"
541,Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985"
544,Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989"
545,Chase Waldon,"6' 1""",185 lbs.,"75""",Orthodox,"Sep 19, 1986"
547,Che Mills,"6' 1""",170 lbs.,"76""",Orthodox,"Sep 29, 1982"
548,Cheick Kongo,"6' 4""",240 lbs.,"82""",Orthodox,"May 17, 1975"
550,Cheyden Leialoha,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994"
551,Chibwikem Onyenegecha-Palmer,"6' 3""",185 lbs.,"76""",Orthodox,"Apr 18, 1994"
552,Chico Camus,"5' 6""",125 lbs.,"66""",Orthodox,"Jan 26, 1985"
555,Chris Avila,"5' 10""",145 lbs.,"72""",Orthodox,"Jan 16, 1993"
557,Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985"
558,Chris Birchler,"6' 3""",205 lbs.,"79""",Switch,"Jun 05, 1987"
562,Chris Camozzi,"6' 2""",185 lbs.,"76""",Orthodox,"Nov 20, 1986"
563,Chris Cariaso,"5' 3""",125 lbs.,"63""",Southpaw,"May 27, 1981"
564,Chris Clements,"5' 10""",170 lbs.,"70""",Orthodox,"Feb 09, 1976"
567,Chris Cope,"6' 0""",170 lbs.,"72""",Orthodox,"Mar 05, 1983"
570,Chris Dempsey,"5' 10""",185 lbs.,"72""",Orthodox,"Sep 08, 1987"
572,Chris Fishgold,"5' 8""",145 lbs.,"68""",Orthodox,"Jun 06, 1992"
573,Chris Gruetzemacher,"5' 8""",155 lbs.,"68""",Orthodox,"Jun 16, 1986"
575,Chris Gutierrez,"5' 9""",135 lbs.,"69""",Orthodox,"Apr 22, 1991"
578,Chris Heatherly,"5' 9""",155 lbs.,"68""",Orthodox,"Nov 24, 1987"
582,Chris Horodecki,"5' 9""",155 lbs.,"69""",Orthodox,"Sep 24, 1987"
586,Chris Kelades,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 21, 1981"
587,Chris Leben,"5' 11""",185 lbs.,"74""",Southpaw,"Jul 21, 1980"
589,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974"
599,Chris Tuchscherer,"6' 2""",258 lbs.,"76""",Orthodox,"Sep 08, 1975"
600,Chris Wade,"5' 10""",155 lbs.,"70""",Orthodox,"Sep 30, 1987"
601,Chris Weidman,"6' 2""",185 lbs.,"78""",Orthodox,"Jun 17, 1984"
602,Chris Wilson,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 07, 1977"
605,Chris de la Rocha,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979"
606,Christian Colombo,"6' 5""",265 lbs.,"80""",Orthodox,"Jul 01, 1980"
608,Christian Morecraft,"6' 6""",260 lbs.,"81""",Orthodox,"Sep 08, 1986"
609,Christian Ocon,"5' 8""",135 lbs.,"69""",Orthodox,"Feb 05, 1996"
611,Christian Wellisch,"6' 2""",234 lbs.,"77""",Orthodox,"Sep 13, 1975"
612,Christina Marks,"5' 7""",125 lbs.,"69""",Orthodox,"Nov 08, 1985"
615,Christos Giagos,"5' 10""",155 lbs.,"71""",Orthodox,"Jan 23, 1990"
617,Chuck Liddell,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969"
619,Cindy Dandois,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984"
621,Claude Patrick,"5' 11""",170 lbs.,"75""",Orthodox,"Jun 14, 1980"
622,Claudia Gadelha,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988"
624,Claudio Puelles,"5' 11""",155 lbs.,"72""",Southpaw,"Apr 21, 1996"
625,Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982"
627,Clay Collard,"5' 11""",145 lbs.,"73""",Orthodox,"Mar 10, 1993"
629,Clay Guida,"5' 7""",155 lbs.,"70""",Orthodox,"Dec 08, 1981"
634,Clifford Starks,"6' 0""",185 lbs.,"77""",Orthodox,"Apr 25, 1981"
637,Clint Hester,"6' 2""",205 lbs.,"77""",Orthodox,"Nov 21, 1986"
641,Cody Donovan,"6' 3""",205 lbs.,"74""",Orthodox,"Feb 20, 1981"
642,Cody East,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988"
644,Cody Garbrandt,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991"
645,Cody Gibson,"5' 10""",135 lbs.,"71""",Orthodox,"Sep 11, 1987"
646,Cody McKenzie,"6' 0""",155 lbs.,"72""",Switch,"Dec 16, 1987"
647,Cody Pfister,"5' 10""",155 lbs.,"73""",Orthodox,"Jul 12, 1990"
649,Cody Stamann,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989"
650,Colby Covington,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988"
651,Cole Escovedo,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981"
652,Cole Miller,"6' 1""",145 lbs.,"74""",Orthodox,"Apr 26, 1984"
653,Cole Province,"5' 9""",145 lbs.,"68""",Orthodox,"Jan 17, 1981"
